rank,name,secid,category,main_force_total,main_force_yi
1,有色金属,90.BK0478,能源/材料,1139548967476.0,11395.49
2,电网设备,90.BK0457,能源/材料,781375539827.0,7813.76
3,消费电子,90.BK1037,通信/电子,197521592331.0,1975.22
4,军工,90.BK0490,高端制造/航天,182759675564.0,1827.6
5,光伏,90.BK1031,能源/材料,140102136849.0,1401.02
6,油气资源,90.BK1649,能源/材料,116583423385.0,1165.83
7,医疗器械,90.BK1045,医药健康,408829353.0,4.09
8,医药生物,90.BK1043,医药健康,-7323649529.0,-73.24
9,医疗服务,90.BK1044,医药健康,-56640799661.0,-566.41
10,商业航天,90.BK0963,高端制造/航天,-112385348864.0,-1123.85
11,先进制造,90.BK1237,高端制造/航天,-151201762239.0,-1512.02
12,电力,90.BK0428,能源/材料,-254913380326.0,-2549.13
13,半导体材料设备,90.BK1326,AI/科技,-373257092792.0,-3732.57
14,AI应用,90.BK1629,AI/科技,-633762813337.0,-6337.63
15,云计算,90.BK0579,AI/科技,-1202735258051.0,-12027.35
16,通信,90.BK1215,通信/电子,-1314662163656.0,-13146.62
17,国产算力,90.BK1134,AI/科技,-1770029858672.0,-17700.3
18,CPO,90.BK1128,AI/科技,-1947538485940.0,-19475.38
19,人工智能,90.BK0800,AI/科技,-2423031205978.0,-24230.31
20,存储芯片,90.BK1137,AI/科技,-2806762613998.0,-28067.63
21,半导体,90.BK1036,AI/科技,-3482895780623.0,-34828.96
22,大科技,90.BK0891,AI/科技,-4490862653778.0,-44908.63
